original_word	pinyin	english	freq_per_mil	count_in_corpus
程度	chéng dù	degree (level or extent)/level/CL:個|个[ge4]	108.0	3
期间	qī jiān	period of time/time/time period/period/CL:個|个[ge4]	106.0	3
明显	míng xiǎn	clear/distinct/obvious	97.0	3
以下	yǐ xià	that level or lower/that amount or less/the following	95.0	3
黄	Huáng; huáng	surname Huang or Hwang; yellow/pornographic/to fall through	95.0	3
理由	lǐ yóu	reason/grounds/justification/CL:個|个[ge4]	91.0	3
革命	gé mìng	revolution/revolutionary (politics)/CL:次[ci4]	89.0	3
参与	cān yù	to participate (in sth)	88.0	3
公共	gōng gòng	public/common (use)	86.0	3
本身	běn shēn	itself/in itself/per se	81.0	3
发布	fā bù	to release/to issue/to announce/to distribute/also written 發布|发布[fa1 bu4]; to release/to issue/to announce/to distribute	77.0	3
反对	fǎn duì	to fight against/to oppose/to be opposed to/opposition	77.0	3
迅速	xùn sù	rapid/speedy/fast	77.0	3
怀疑	huái yí	to doubt/to suspect/doubt/suspicion/skeptical	77.0	3
显然	xiǎn rán	clear/evident/obvious(ly)	75.0	3
人士	rén shì	person/figure/public figure	74.0	3
全球	quán qiú	entire/total/global/the (whole) world/worldwide	74.0	3
在于	zài yú	to be in/to lie in/to consist in/to depend on/to rest with	72.0	3
道路	dào lù	road/path/way/CL:條|条[tiao2]	72.0	3
必要	bì yào	necessary/essential/indispensable/required	72.0	3
陈	Chén; chén	surname Chen/vassal state during the Spring and Autumn Period 770-475 BC/Chen of the Southern dynasties (557-589); to lay out/to exhibit/to display/to narrate/to state/to explain/to tell/old/stale	65.0	3
类似	lèi sì	similar/analogous	64.0	3
宣布	xuān bù	to declare/to announce/to proclaim	63.0	3
位于	wèi yú	to be located at/to be situated at/to lie	60.0	3
制造	zhì zào	to manufacture/to make	59.0	3
基本上	jī běn shang	basically/on the whole	58.0	3
普	pǔ	general/popular/everywhere/universal	58.0	3
今日	jīn rì	today	57.0	3
声明	shēng míng	statement/declaration/CL:項|项[xiang4],份[fen4]	57.0	3
例	lì	example/precedent/rule/case/instance	56.0	3
尊重	zūn zhòng	to esteem/to respect/to honor/to value/eminent/serious/proper	56.0	3
伤害	shāng hài	to injure/to harm	54.0	3
处于	chǔ yú	to be in (some state, position, or condition)	52.0	3
权力	quán lì	power/authority	52.0	3
失望	shī wàng	disappointed/to lose hope/to despair	49.0	3
各自	gè zì	each/respective/apiece	49.0	3
打击	dǎ jī	to hit/to strike/to attack/to crack down on sth/a setback/a blow/percussion (music)	49.0	3
感觉到	gǎn jué dào	to feel/to sense/to detect/to perceive/to become aware	48.0	3
面临	miàn lín	to face sth/to be confronted with	48.0	3
表明	biǎo míng	to make clear/to make known/to state clearly/to indicate/known	48.0	3
沟通	gōu tōng	to join/to connect/to link up/to communicate	46.0	3
体验	tǐ yàn	to experience for oneself	46.0	3
蓝色	lán sè	blue (color)	44.0	3
